Image,Object,Color,Caption
raw/iTrade/20210927063813__https____www.scotiaitrade.com__fr__accueil__centre-dapprentissage__faq__calendrier-des-conges-feries/content__dam__itrade__images__iStock-1272782773.jpg2000.2000.png,"person 89.0%
chair 49.6%
potted plant 46.0%","silver
black
darkolivegreen
dimgray
gray",a woman standing in a kitchen talking on a cell phone
raw/iTrade/20201008194244__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_CoupleHiking2.png1280.1280.png,"person 93.6%
person 89.3%","gray
lightgray
darkolivegreen
silver
darkgray",two people standing on the beach in the tall grass
raw/iTrade/20201008194244__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__start-direct-investing-banner.jpg1280.1280.jpeg,"laptop 94.7%
person 93.9%
person 93.0%
couch 26.3%","dimgray
silver
black",a man and woman sitting on a couch looking at a laptop computer
raw/iTrade/20201008194244__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__women_laptop_itrade.jpg1280.1280.jpeg,"laptop 95.1%
person 94.5%
cup 92.9%
cell phone 91.5%
couch 63.2%
couch 46.8%
chair 32.1%
dining table 27.1%","dimgray
silver
black
darkgray",a woman sitting at a table with a laptop computer
raw/iTrade/20201008194244__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_TwoFriends.png1280.1280.png,"person 93.6%
person 93.0%
cell phone 78.0%","dimgray
lightcoral
black
darkgray
lightsteelblue",two young women sitting on a sidewalk looking at a tablet
raw/iTrade/20201204205748__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__father-son-haircut.jpg2000.2000.jpg,"person 90.0%
person 89.8%
chair 58.5%
cell phone 46.3%","gainsboro
darkslategray
brown
rosybrown
goldenrod",a man cutting a childs hair with a hair dryer
raw/iTrade/20210927063610__https____www.scotiaitrade.com__fr__accueil__centre-dapprentissage/content__dam__itrade__images__iStock-1219240164.jpg2000.2000.png,"person 88.8%
dog 80.4%
potted plant 60.1%
chair 59.7%
laptop 57.7%
potted plant 40.1%","darkgray
darkslategray
gainsboro
darkolivegreen",a woman standing in front of a wall of pictures
raw/iTrade/20210306003651__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20210927063906__https____www.scotiaitrade.com__fr__accueil__ouvrez-un-compte-de-negociation/content__dam__itrade__images__Open-scotia-itrade-account-banner-image.jpg2000.2000.jpg,"cell phone 94.2%
person 92.7%
laptop 88.0%","darkslategray
silver
sienna
lightslategray
darkgray",a woman holding a cell phone in front of a laptop computer
raw/iTrade/20210920061414__https____www.scotiaitrade.com__fr__accueil__frais-et-tarification/content__dam__itrade__images__iStock-1305630217.jpg2000.2000.png,"laptop 90.3%
person 79.1%","darkslategray
lightgray
darkgray
darkseagreen",a woman sitting on a couch using a laptop computer
raw/iTrade/20210927080045__https____www.scotiaitrade.com__en__home__learning-centre__the-knowledge-navigator/content__dam__itrade__images__iStock-1295768958.jpg2000.2000.png,"person 91.8%
laptop 91.8%
chair 59.0%
potted plant 38.6%
chair 27.9%","gray
darkslategray
silver
darkolivegreen
saddlebrown",a woman working on a laptop computer in a living room
raw/iTrade/20220119005759__https____www.scotiaitrade.com__en__home__why-itrade__powerful-platforms/content__dam__itrade__images__iStock-1192583552.jpg2000.2000.png,"person 90.2%
bottle 78.6%
bottle 61.7%
bottle 56.1%
bottle 42.5%","darkgray
darkslategray
darkolivegreen
dimgray
sienna",a man is looking out of a train window
raw/iTrade/20210424031507__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20210806210803__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__iStock-1136855170.jpg2000.2000.png,"laptop 86.0%
dog 85.3%
person 79.1%
couch 44.5%
couch 37.1%","darkslategray
tan
gray
darkgray
cadetblue",a woman standing in a living room with a laptop and a dog
raw/iTrade/20220216154426__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__Scotia-iTRADE-winter-campaign-hero.jpg2000.2000.jpg,"person 95.2%
person 94.9%
bottle 26.7%","silver
saddlebrown
gray
dimgray",two women sitting on the floor painting a wall
raw/iTrade/20220216154426__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__Scotia-itrade-ways-to-invest-hero.jpg2000.2000.jpg,"person 94.0%
laptop 83.4%
couch 80.7%
chair 73.3%
couch 47.3%
couch 38.6%","darkslategray
silver
gray
darkgray",a man sitting on a couch using a tablet computer
raw/iTrade/20210921041906__https____www.scotiaitrade.com__en__home__pricing-fees/content__dam__itrade__images__iStock-1305630217.jpg2000.2000.png,"laptop 90.3%
person 79.1%","darkslategray
lightgray
darkgray
darkseagreen",a woman sitting on a couch using a laptop computer
raw/iTrade/20211018222025__https____www.scotiaitrade.com__fr__accueil__frais-et-tarification/content__dam__itrade__images__iStock-1305630217.jpg2000.2000.png,"laptop 90.3%
person 79.1%","darkslategray
lightgray
darkgray
darkseagreen",a woman sitting on a couch using a laptop computer
raw/iTrade/20210519103726__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20201001162219__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_CoupleHiking2.png1280.1280.png,"person 93.6%
person 89.3%","gray
lightgray
darkolivegreen
silver
darkgray",two people standing on the beach in the tall grass
raw/iTrade/20201001162219__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__start-direct-investing-banner.jpg1280.1280.jpeg,"laptop 94.7%
person 93.9%
person 93.0%
couch 26.3%","dimgray
silver
black",a man and woman sitting on a couch looking at a laptop computer
raw/iTrade/20201001162219__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__women_laptop_itrade.jpg1280.1280.jpeg,"laptop 95.1%
person 94.5%
cup 92.9%
cell phone 91.5%
couch 63.2%
couch 46.8%
chair 32.1%
dining table 27.1%","dimgray
silver
black
darkgray",a woman sitting at a table with a laptop computer
raw/iTrade/20201001162219__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_TwoFriends.png1280.1280.png,"person 93.6%
person 93.0%
cell phone 78.0%","dimgray
lightcoral
black
darkgray
lightsteelblue",two young women sitting on a sidewalk looking at a tablet
raw/iTrade/20220209165001__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__Scotia-iTRADE-winter-campaign-hero.jpg2000.2000.jpg,"person 95.2%
person 94.9%
bottle 26.7%","silver
saddlebrown
gray
dimgray",two women sitting on the floor painting a wall
raw/iTrade/20220209165001__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__Scotia-itrade-ways-to-invest-hero.jpg2000.2000.jpg,"person 94.0%
laptop 83.4%
couch 80.7%
chair 73.3%
couch 47.3%
couch 38.6%","darkslategray
silver
gray
darkgray",a man sitting on a couch using a tablet computer
raw/iTrade/20200813164442__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_CoupleHiking2.png1280.1280.png,"person 93.6%
person 89.3%","gray
lightgray
darkolivegreen
silver
darkgray",two people standing on the beach in the tall grass
raw/iTrade/20200813164442__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__start-direct-investing-banner.jpg1280.1280.jpeg,"laptop 94.7%
person 93.9%
person 93.0%
couch 26.3%","dimgray
silver
black",a man and woman sitting on a couch looking at a laptop computer
raw/iTrade/20200813164442__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__women_laptop_itrade.jpg1280.1280.jpeg,"laptop 95.1%
person 94.5%
cup 92.9%
cell phone 91.5%
couch 63.2%
couch 46.8%
chair 32.1%
dining table 27.1%","dimgray
silver
black
darkgray",a woman sitting at a table with a laptop computer
raw/iTrade/20200813164442__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_TwoFriends.png1280.1280.png,"person 93.6%
person 93.0%
cell phone 78.0%","dimgray
lightcoral
black
darkgray
lightsteelblue",two young women sitting on a sidewalk looking at a tablet
raw/iTrade/20200928202046__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_CoupleHiking2.png1280.1280.png,"person 93.6%
person 89.3%","gray
lightgray
darkolivegreen
silver
darkgray",two people standing on the beach in the tall grass
raw/iTrade/20200928202046__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__start-direct-investing-banner.jpg1280.1280.jpeg,"laptop 94.7%
person 93.9%
person 93.0%
couch 26.3%","dimgray
silver
black",a man and woman sitting on a couch looking at a laptop computer
raw/iTrade/20200928202046__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__women_laptop_itrade.jpg1280.1280.jpeg,"laptop 95.1%
person 94.5%
cup 92.9%
cell phone 91.5%
couch 63.2%
couch 46.8%
chair 32.1%
dining table 27.1%","dimgray
silver
black
darkgray",a woman sitting at a table with a laptop computer
raw/iTrade/20200928202046__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_TwoFriends.png1280.1280.png,"person 93.6%
person 93.0%
cell phone 78.0%","dimgray
lightcoral
black
darkgray
lightsteelblue",two young women sitting on a sidewalk looking at a tablet
raw/iTrade/20211130123314__https____www.scotiaitrade.com__en__home__where-to-start/content__dam__itrade__images__iStock-1077085894.jpg2000.2000.png,"laptop 93.5%
person 90.0%
person 88.5%
couch 85.0%
clock 67.9%
couch 47.8%","lightgray
darkslategray
peru
gray
darkolivegreen",a man sitting on a couch with a laptop
raw/iTrade/20210706095531__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20201129040718__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__father-son-haircut.jpg2000.2000.jpg,"person 90.0%
person 89.8%
chair 58.5%
cell phone 46.3%","gainsboro
darkslategray
brown
rosybrown
goldenrod",a man cutting a childs hair with a hair dryer
raw/iTrade/20220107043548__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__Scotia-iTRADE-winter-campaign-hero.jpg2000.2000.jpg,"person 95.2%
person 94.9%
bottle 26.7%","silver
saddlebrown
gray
dimgray",two women sitting on the floor painting a wall
raw/iTrade/20220107043548__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__Scotia-itrade-ways-to-invest-hero.jpg2000.2000.jpg,"person 94.0%
laptop 83.4%
couch 80.7%
chair 73.3%
couch 47.3%
couch 38.6%","darkslategray
silver
gray
darkgray",a man sitting on a couch using a tablet computer
raw/iTrade/20220714053523__https____www.scotiaitrade.com__en__home__trading-account-types__registered__tax-free-savings-accounts-tfsa/content__dam__itrade__images__iStock-1277588343.jpg2000.2000.png,"person 90.6%
bowl 52.6%","silver
darkslategray
dimgray",a man standing in a kitchen talking on a cell phone
raw/iTrade/20220216110622__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__Scotia-iTRADE-winter-campaign-hero.jpg2000.2000.jpg,"person 95.2%
person 94.9%
bottle 26.7%","silver
saddlebrown
gray
dimgray",two women sitting on the floor painting a wall
raw/iTrade/20220216110622__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__Scotia-itrade-ways-to-invest-hero.jpg2000.2000.jpg,"person 94.0%
laptop 83.4%
couch 80.7%
chair 73.3%
couch 47.3%
couch 38.6%","darkslategray
silver
gray
darkgray",a man sitting on a couch using a tablet computer
raw/iTrade/20211009194411__https____www.scotiaitrade.com__en__home__open-practice-trading-acccount/content__dam__itrade__images__iStock-1162938821.jpg2000.2000.png,"person 91.3%
laptop 89.8%
person 82.8%
couch 66.1%
couch 37.1%","darkgray
darkslategray
dimgray
rosybrown
lightslategray",two people sitting on a couch looking at a laptop computer
raw/iTrade/20211222033332__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__Scotia-iTRADE-winter-campaign-hero.jpg2000.2000.jpg,"person 95.2%
person 94.9%
bottle 26.7%","silver
saddlebrown
gray
dimgray",two women sitting on the floor painting a wall
raw/iTrade/20211222033332__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__Scotia-itrade-ways-to-invest-hero.jpg2000.2000.jpg,"person 94.0%
laptop 83.4%
couch 80.7%
chair 73.3%
couch 47.3%
couch 38.6%","darkslategray
silver
gray
darkgray",a man sitting on a couch using a tablet computer
raw/iTrade/20201227012710__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__father-son-haircut.jpg2000.2000.jpg,"person 90.0%
person 89.8%
chair 58.5%
cell phone 46.3%","gainsboro
darkslategray
brown
rosybrown
goldenrod",a man cutting a childs hair with a hair dryer
raw/iTrade/20210618232522__https____www.scotiaitrade.com__fr__investissement-direct-and-trading-en-ligne/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20220119011517__https____www.scotiaitrade.com__en__home__winter-offer/content__dam__itrade__images__Scotia-iTRADE-winter-campaign-hero.jpg2000.2000.jpg,"person 95.2%
person 94.9%
bottle 26.7%","silver
saddlebrown
gray
dimgray",two women sitting on the floor painting a wall
raw/iTrade/20210506061201__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20201219230417__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__father-son-haircut.jpg2000.2000.jpg,"person 90.0%
person 89.8%
chair 58.5%
cell phone 46.3%","gainsboro
darkslategray
brown
rosybrown
goldenrod",a man cutting a childs hair with a hair dryer
raw/iTrade/20210810161833__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__iStock-1136855170.jpg2000.2000.png,"laptop 86.0%
dog 85.3%
person 79.1%
couch 44.5%
couch 37.1%","darkslategray
tan
gray
darkgray
cadetblue",a woman standing in a living room with a laptop and a dog
raw/iTrade/20210421160243__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20200422031458__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_CoupleHiking2.png1280.1280.png,"person 93.6%
person 89.3%","gray
lightgray
darkolivegreen
silver
darkgray",two people standing on the beach in the tall grass
raw/iTrade/20200422031458__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__women_laptop_itrade.jpg1280.1280.jpeg,"laptop 95.1%
person 94.5%
cup 92.9%
cell phone 91.5%
couch 63.2%
couch 46.8%
chair 32.1%
dining table 27.1%","dimgray
silver
black
darkgray",a woman sitting at a table with a laptop computer
raw/iTrade/20200422031458__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_TwoFriends.png1280.1280.png,"person 93.6%
person 93.0%
cell phone 78.0%","dimgray
lightcoral
black
darkgray
lightsteelblue",two young women sitting on a sidewalk looking at a tablet
raw/iTrade/20200422031458__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__iTrade_Education_2020_WebsiteHeader_V5.jpg1280.1280.jpeg,"person 95.0%
person 94.8%","darkgray
black
sienna
slategray",a man and a woman sitting next to each other
raw/iTrade/20210920061027__https____www.scotiaitrade.com__en__home__why-itrade__powerful-platforms__scotia-itrade-trading-desk/content__dam__itrade__images__iStock-1211772795.jpg2000.2000.png,"laptop 92.2%
mouse 80.3%
person 74.1%
cell phone 65.2%","silver
darkslategray
sienna
darkgray
slategray",a woman working on a laptop computer with her hand on the keyboard
raw/iTrade/20210927072414__https____www.scotiaitrade.com__en__home__learning-centre__faqs/content__dam__itrade__images__iStock-1272782773.jpg2000.2000.png,"person 89.0%
chair 49.6%
potted plant 46.0%","silver
black
darkolivegreen
dimgray
gray",a woman standing in a kitchen talking on a cell phone
raw/iTrade/20211130113942__https____www.scotiaitrade.com__en__home__learning-centre__forms-library/content__dam__itrade__images__iStock-826690510.jpg2000.2000.png,"person 94.1%
person 80.5%
laptop 28.3%","darkslategray
silver
darkgray
gray
cadetblue",a woman wearing glasses looking at a tablet
raw/iTrade/20210927081231__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__iStock-1136855170.jpg2000.2000.png,"laptop 86.0%
dog 85.3%
person 79.1%
couch 44.5%
couch 37.1%","darkslategray
tan
gray
darkgray
cadetblue",a woman standing in a living room with a laptop and a dog
raw/iTrade/20210920043600__https____www.scotiaitrade.com__en__home__learning-centre__how-to-videos/content__dam__itrade__images__iStock-1073678780.jpg2000.2000.png,"person 90.7%
laptop 87.6%
person 81.4%
cup 80.2%
cup 73.3%
chair 37.1%
chair 33.9%","black
lightgray
sienna
darkgray
gray",a photo of a person looking out a window with a painting on the wall
raw/iTrade/20220119010308__https____www.scotiaitrade.com__en__home__why-itrade/content__dam__itrade__images__iStock-1062783064.jpg2000.2000.png,"person 90.8%
laptop 87.6%
chair 83.3%
person 80.7%
dining table 50.3%","lightgray
darkslategray
darkolivegreen
gray
sienna",two women standing in a kitchen with a laptop computer
raw/iTrade/20210920061605__https____www.scotiaitrade.com__fr__accueil__comptes__comptes-enregistres/content__dam__itrade__images__iStock-509418169.jpg2000.2000.png,"person 94.1%
laptop 92.1%
cup 86.8%","darkslategray
lightgray
darkgray
gray
lightslategray",a man sitting on a couch looking at a tablet computer
raw/iTrade/20210503000046__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20211009194408__https____www.scotiaitrade.com__en__home__why-itrade__powerful-platforms/content__dam__itrade__images__iStock-1192583552.jpg2000.2000.png,"person 90.2%
bottle 78.6%
bottle 61.7%
bottle 56.1%
bottle 42.5%","darkgray
darkslategray
darkolivegreen
dimgray
sienna",a man is looking out of a train window
raw/iTrade/20210921045336__https____www.scotiaitrade.com__en__home__learning-centre__forms-library/content__dam__itrade__images__iStock-826690510.jpg2000.2000.png,"person 94.1%
person 80.5%
laptop 28.3%","darkslategray
silver
darkgray
gray
cadetblue",a woman wearing glasses looking at a tablet
raw/iTrade/20201102010837__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_CoupleHiking2.png1280.1280.png,"person 93.6%
person 89.3%","gray
lightgray
darkolivegreen
silver
darkgray",two people standing on the beach in the tall grass
raw/iTrade/20201102010837__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__start-direct-investing-banner.jpg1280.1280.jpeg,"laptop 94.7%
person 93.9%
person 93.0%
couch 26.3%","dimgray
silver
black",a man and woman sitting on a couch looking at a laptop computer
raw/iTrade/20201102010837__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__women_laptop_itrade.jpg1280.1280.jpeg,"laptop 95.1%
person 94.5%
cup 92.9%
cell phone 91.5%
couch 63.2%
couch 46.8%
chair 32.1%
dining table 27.1%","dimgray
silver
black
darkgray",a woman sitting at a table with a laptop computer
raw/iTrade/20201102010837__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_TwoFriends.png1280.1280.png,"person 93.6%
person 93.0%
cell phone 78.0%","dimgray
lightcoral
black
darkgray
lightsteelblue",two young women sitting on a sidewalk looking at a tablet
raw/iTrade/20211009140446__https____www.scotiaitrade.com__en__home__why-itrade/content__dam__itrade__images__iStock-1062783064.jpg2000.2000.png,"person 90.8%
laptop 87.6%
chair 83.3%
person 80.7%
dining table 50.3%","lightgray
darkslategray
darkolivegreen
gray
sienna",two women standing in a kitchen with a laptop computer
raw/iTrade/20200513072749__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_CoupleHiking2.png1280.1280.png,"person 93.6%
person 89.3%","gray
lightgray
darkolivegreen
silver
darkgray",two people standing on the beach in the tall grass
raw/iTrade/20200513072749__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__women_laptop_itrade.jpg1280.1280.jpeg,"laptop 95.1%
person 94.5%
cup 92.9%
cell phone 91.5%
couch 63.2%
couch 46.8%
chair 32.1%
dining table 27.1%","dimgray
silver
black
darkgray",a woman sitting at a table with a laptop computer
raw/iTrade/20200513072749__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_TwoFriends.png1280.1280.png,"person 93.6%
person 93.0%
cell phone 78.0%","dimgray
lightcoral
black
darkgray
lightsteelblue",two young women sitting on a sidewalk looking at a tablet
raw/iTrade/20200513072749__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__iTrade_Education_2020_WebsiteHeader_V5.jpg1280.1280.jpeg,"person 95.0%
person 94.8%","darkgray
black
sienna
slategray",a man and a woman sitting next to each other
raw/iTrade/20211127001628__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__iStock-1136855170.jpg2000.2000.png,"laptop 86.0%
dog 85.3%
person 79.1%
couch 44.5%
couch 37.1%","darkslategray
tan
gray
darkgray
cadetblue",a woman standing in a living room with a laptop and a dog
raw/iTrade/20211127001628__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__Scotia-itrade-ways-to-invest-hero.jpg2000.2000.jpg,"person 94.0%
laptop 83.4%
couch 80.7%
chair 73.3%
couch 47.3%
couch 38.6%","darkslategray
silver
gray
darkgray",a man sitting on a couch using a tablet computer
raw/iTrade/20210521222153__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20210927075423__https____www.scotiaitrade.com__fr__accueil__centre-dapprentissage__faq__calendrier-des-conges-sur-les-marches/content__dam__itrade__images__iStock-1272782773.jpg2000.2000.png,"person 89.0%
chair 49.6%
potted plant 46.0%","silver
black
darkolivegreen
dimgray
gray",a woman standing in a kitchen talking on a cell phone
raw/iTrade/20210920055430__https____www.scotiaitrade.com__en__home__learning-centre__faqs__market-holiday-schedule/content__dam__itrade__images__iStock-1272782773.jpg2000.2000.png,"person 89.0%
chair 49.6%
potted plant 46.0%","silver
black
darkolivegreen
dimgray
gray",a woman standing in a kitchen talking on a cell phone
raw/iTrade/20211109024749__https____www.scotiaitrade.com__en__home__learning-centre__faqs/content__dam__itrade__images__iStock-1272782773.jpg2000.2000.png,"person 89.0%
chair 49.6%
potted plant 46.0%","silver
black
darkolivegreen
dimgray
gray",a woman standing in a kitchen talking on a cell phone
raw/iTrade/20210824191619__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__iStock-1136855170.jpg2000.2000.png,"laptop 86.0%
dog 85.3%
person 79.1%
couch 44.5%
couch 37.1%","darkslategray
tan
gray
darkgray
cadetblue",a woman standing in a living room with a laptop and a dog
raw/iTrade/20210218210649__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20210927081042__https____www.scotiaitrade.com__fr__accueil__comptes/content__dam__itrade__images__iStock-1215847733.jpg2000.2000.png,"person 93.3%
person 86.8%
cell phone 75.9%","darkslategray
silver
gray
darkgray
lightslategray",a woman standing in front of a window holding a cell phone
raw/iTrade/20210426211645__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20210502040725__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20210517153427__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20220119011143__https____www.scotiaitrade.com__en__home__learning-centre__how-to-videos/content__dam__itrade__images__iStock-1073678780.jpg2000.2000.png,"person 90.7%
laptop 87.6%
person 81.4%
cup 80.2%
cup 73.3%
chair 37.1%
chair 33.9%","black
lightgray
sienna
darkgray
gray",a photo of a person looking out a window with a painting on the wall
